QID	TITLE	BODY	CATEGORY	PUBLISHEDDATE
YA:20160517042451AAYXqdi	Does a land rover freelander have a heat soak option?		Maintenance & Repairs	1463484291000
YA:20160517042802AA1NHtn	What does ''cigarette is a metaphor....OK? OK. '' mean?	http://www.redbubble.com/people/rbx11/works/12403155-the-fault-in-our-stars-okay-cigarette-box?grid_pos=6&p=ipad-case	Other - General Health Care	1463484482000
YA:20160517042901AA1934Y	Is creatine bad for you?	If I'm looking to build lean muscle mass will creatine help?	Diet & Fitness	1463484542000
YA:20160517042938AAJx4zd	Does the radiation exposure from flying in an airplane cause cancer?		Cancer	1463484578000
YA:20160517043103AApDKSr	How to clean the bottom of an iron?		Cleaning & Laundry	1463484663000
YA:20160517043208AA9lOqv	I'm scared to share a bedroom with an old lady because of what a female gynecologist did to me?	"I grew up religious/asexual until 18. But I had painful periods, once I was having sex (not regularly) I decided to go to the uni. gyno. /n/nI'm straight. I WANTED a male gyno because I feel more at ease with men. 2 yrs previous, a bf tried to rape me. I rolled from underneath him and stopped him because I'm more assertive with men. I was so desperate to get my uterus out of pain, I accepted a female./n/nI didn't do my research. I logically assumed a contraption would be inserted in me, and I was prepared for that. She gave me a quick warning, inserted it, I survived.I didn't realize she'd put her fingers in me but she gave me like 2 seconds warning and stuck them in...not enough time to process it. /n/nWhile inside me, she talked about doing her own kegels, asked about mine, told me the benefits for sex, and complimented my tightness. Fingering was still equivalent to sex for me at the time. I was already turned on (physically, not mentally) when going in there since I get arousal from needing to pee. I just feel stupid about it because with a man, I'd have already been on guard. HELL NO complimenting my vagina/talking about sexual things while inside of me./n/nI was shocked until I left the room and sobbed for hours and hours after./n/nNow I have to share a bedroom with a 50-yr old lady for an on-site job, it scares me. She seems too sexually open. My instincts are screaming at me. I've tried telling them I don't feel comfortable with the age gap (50 and 23) or that she's married."	Women's Health	1463484728000
YA:20160517043303AAxcmTt	Chest pain when I bend over or breath in deeply?	"I just woke up but I went to bend over to get something and then I got a sharp pain in my chest. It doesn t hurt when I lay down or am walking or just standing, but when I bend over. Also it hurts when I take deep breathes. What could this be?"	Pain & Pain Management	1463484783000
YA:20160517043624AAV2Pyt	Losing my virginity..?	I'm about to be 17 in a few weeks & I think I'm gonna have sex soon.. but I'm scared to because sometimes I wipe myself and theirs white discharge & off what it is..	Women's Health	1463484984000
YA:20160517043932AAtFYQ0	Why is my tattoo smearing? There is ink everywhere? I'll include photo link in details?	https://imgur.com/a/oo8Bh/n/nI just got this tattoo last night at 6pm	Tattoos	1463485172000
YA:20160517044048AAKc5fe	Can't poop?	"I took an overdose on Wednesday and was taken to hospital until Friday when they said my repeat bloods were okay and let me home.. I had 2 poos in the hospital but since I have come home (Tuesday today) I haven't managed to have a poo and this is worrying to me as usually I go atleast 2 times a day.. My diet has been fine and I've even upped the vegetables and fibre, my stomach looks HUGE, but I don't have a stomach ache, I feel super tired and I'm just wondering if anyone knows of this is bad??"	Other - Health	1463485248000
YA:20160517044208AAr8aY5	Ejaculated and for next day do not feel good?	"I was horny. I jerked off and ***. Now for the next day or two, I am not horny, and my dick is soft. I don t feel good about it. I wish I had not *** last night, but I was so horny; I had to do it. /n/nI like the feeling of being horny, charged, feel alive. /n/nBut ejaculating gets away that feeling for a day or two or more! Hate that./n/nIs this feeling common for men?"	Men's Health	1463485328000
YA:20160517044351AAE39aB	Is it bad for a muslim to finish studies in Israel?		Israel	1463485431000
YA:20160517044404AAgJIEP	Will using date honey/syrup as a sweetener with Nescafe/coffee help neutralize the bad effects of caffeine ?		Diet & Fitness	1463485444000
YA:20160517044524AAnzc6S	"Weird Eyesight: White flashes, weird feeling with eye movement, moving shadows, colors keep changing....?"	"Yes, the question may seem very confusing./n/nSo I ve been having bad headaches for a few months and have been blacking out sometimes. /n/nNow my vision seems off. Whenever I move my eyes it s a weird tingly sensation.... Dunno how to explain it./n/nAnd my vision gets fuzzy at times and it s getting harder to focus it. /n/nThere are random black dots on the walls and ceilings and I ll think it s a bug or something but then I blink and look closer and there won t be anything. There are also white flashes every now and then./n/nSometimes the color scheme I m seeing will change as well. Like my vision will get a bluish tint, then it ll turn into a reddish tint, then darker, then lighter. It s weird and I don t know how to explain most of this./n/nWhat should I do? Should I get my eyes checked out?"	Optical	1463485524000
YA:20160517044756AARaiZF	My eyelid is suddenly uneven. My left eyelid feels like it has some fat(?) when i close my eyes tightly. How can I fix it without surgery?		Other - Skin & Body	1463485676000
YA:20160517044917AAbb3gk	What's the average size penis for a 14 years old?		Men's Health	1463485757000
YA:20160517045022AAQ8bZf	"UK has tabled 72 amendments to the EU and had a total of 72 thrown out, is this a recipe for success?"		Alternative Medicine	1463485822000
YA:20160517045034AAfbLSE	Is Swedish massage therapy really beneficial as stress remedial?	Swedish massage therapy is popular for its outstanding benefits on human‰Ûªs physic and mind. Getting the best provider internet is the best help for adults.	Alternative Medicine	1463485834000
YA:20160517045142AAOWzob	Bad catalytic converter on a 2006 Grand Marquis LS?	My car has been giving off a P0420 check engine code meaning a co2 sensor or bad cat... I know the cat is at least somewhat bad if not all the way failing because my car barely has any pickup like it did a few months ago and gas effisioncey is horrible now and if I try to speed up fast I get the rotten egg smell but just a few days ago my car started a hesitation and jumping type of feeling while driving (the only way I can describe the exact feeling of the car is that it felt like it was running out of gas like a puttt putt jump but the tank is half full) and since then it has been stalling at lower speeds. I was going to replace the cat but I noticed there is what looks to be more then one on my car... My car has a Y shaped pipe so at the front end of the car its what looks to be a smaller cat on each side and on the tail its a large one. My questions are what cats are most likely to the bad ones? And are those symptoms (stalling and putting) related to a bad cat or maybe something else is more likely wrong with it? Any help or suggestions will be very helpful..  I know I should just see a mechanic etc but I simply can't afford to so. Thanks in advanced	Maintenance & Repairs	1463485902000
YA:20160517045430AAaLUDP	PERIOD ISNT HERE!!!?	So I recently came on the pill 5/3/2016 and had unprotected sex twice the day I stopped taking it and two days after. I had withdrawal bleeding due to not taking the pill. My period was suppose to come a week later its still not here what could this mean???	Women's Health	1463486070000
YA:20160517045459AApDKI7	What is this black and white cube?	Found it but I don t know what it is.../n/ni.imgur.com/qLyVcui.jpg	Skin Conditions	1463486099000
YA:20160517045546AACfrkZ	Which sport is beter for health ?		Diet & Fitness	1463486147000
YA:20160517045840AAHWTxU	Which sport is the best for health?		Diet & Fitness	1463486320000
YA:20160517050103AAU2Mvg	So i was playing football the other day and i got kicked in the leg but i don't know if somethings wrong with it because it still hurts alot?		Injuries	1463486463000
YA:20160517050204AAW4tbB	Does barley use irrigation? And how labor intensive are they?		Garden & Landscape	1463486524000
YA:20160517050312AAmxMrl	How to lose 7kg (not in a dangerous way) in 2 weeks?	"I am almost 14 and my height is about 160cm, I weigh 47kg/103 pounds and want to be 40kg. I need to lose 7kg in 2 weeks or less because I cannot be dedicated enough to go on a diet for longer than 2 weeks. Please give some suggestions to how to lose this weight quick but in a healthy way."	Diet & Fitness	1463486592000
YA:20160517050503AAy7mLD	Were the actions of Ratko Mladic justified in 1995 in your opinion?	Given what has happened 21 years on?	History	1463486703000
YA:20160517050607AAQJ3XE	I live in a Condo and the air coming out of my vents feel cool but not cold.?		Maintenance & Repairs	1463486767000
YA:20160517050635AADXDPI	How can you tell if something is up with your leg?	"So the other day i was playing football and i got kicked on my leg and I don't know if something is wrong because it hasn't bruised at all but when i touch it, it hurts and something moves but i can't tell if somethings wrong because it feels quite hard but not like bone... Plz help me"	Injuries	1463486795000
YA:20160517050746AAV5uU5	Pit Bull Training Question?	"This question is for responsible Pit owners and/or trainers:  In addition to our 8 other dogs, we were ''blessed'' recently with a pit or pit-mix puppy.  We've fostered a lot of dogs, but we've tried to stay away from breeds that might not work well in our pack setting and/or farm animals. But what do you do? The rescues are FULL of casually-bred pit puppies.  We've tried to rehome him, but I honestly didn't completely trust the 2 people who applied for him, so it was either keep him ourselves & continue to try to place him or have him euthanized (he's only 6 weeks old.)   He's smart, strong-willled, loving, & everything you normally associate with this breed. He picked up ''sit'' after about 4 times, and we're teaching him what are his ''chew toys'' and what's NOT a chew-toy,  and that humans get to eat first, etc. My question, though, is about play-fighting. You can't do much about genetics, but we don't want to encourage any dog-aggression. He and our other younger dogs tussle as all puppies will (we have a young Dane female who's already 90 lbs. & also a scrappy little red heeler mix.)  Puppies are going to play, but should I curb rough-housing at some point? Is it good that he's ''fighting'' at a young age with dogs that can put his chubby little self on the ground, or will this just encourage him to want to fight even harder?  Again, I'm not taking owning this dog lightly, and I want to do everything I can to encourage his success in our household or in his future forever-home."	Dogs	1463486866000
YA:20160517050922AAF7riH	Where can I buy nanotube fibers?		Women's Health	1463486962000
YA:20160517051024AAPKVLW	Where can I buy blushwood berries in south africa?		South Africa	1463487024000
YA:20160517051054AAZ90Jr	Please fellow dog lovers help me out!!?	"I recently moved into a new neighborhood and I ve noticed one neighbor in particular that treats their dogs terribly. They leave them outside 24/7 no matter if it s storming or real hot out. They lock them in tiny dark sheds or on small leashes outside where they choke themselves trying to get free. I hate seeing this because they have little quality of life, but I don t know what to do. If I call animal patrol, I don t know if it s anonymous and since they are pit bulls, I fear they ll just be put down."	Dogs	1463487054000
YA:20160517051328AAZxdaa	Growing caterpillars to butterflies.?	"I though I found some snails on my Michelia Alba plant the other day, they turn out to be caterpillars.  /n/nI've read online some people capture and grow them in jars and empty fish tanks until they turn into butterflies, I was thinking the same but since I already have them on a plant I own if it's better to just leave them there instead of putting them in jars."	Garden & Landscape	1463487208000
YA:20160517051354AAEov5W	Collarbone?	"Hi, your opinon - is this collarbone visible?/n~ on scale 1-10 [1, no, 10, super yes]/n/nhttp://akphoto3.ask.fm/314/489/125/-299996970-206n6on-h0ojn62lr336q7f/large/collarbone.jpg/n/nthank you~"	Cancer	1463487234000
YA:20160517051612AA4jTxj	"China Post says delivered, USPS says Origin Post is Preparing Shipment?"		Packing & Preparation	1463487372000
YA:20160517051857AAkwAcV	Am I a cat?	asfg	Cats	1463487537000
YA:20160517051942AA2hxjs	What fabric of underwear is good for keeping the nether regions cool?	"Polyster, silk, etc?"	Fashion & Accessories	1463487582000
YA:20160517052045AAvvwyx	Fantasy Baseball Help?	"10-team keeper 5 x 5 roto with OBP instead of AVG.  I am low on innings pitched and am thinking of grabbing a couple setup guys (Watson and Strickland) to eat up some innings without hurting other categories.  I am in a keeper league, do I hang on to the any or all of the following players?/n/nPitchers:/nBerrios/n/nHitters:/nYasmani Grandal/nYasmany Tomas/nJose Ramirez/nMelvin Upton Jr./nCurtis Granderson/nBrandon Phillips/nBuxton/n/nMy full team for reference:/nC-Ramos/n1B-Cabrera/n2B-Kinsler/n3B-Machado/nSS-Russell/nMI-Phillips/nCI-Belt/nOF-Stanton/nOF-McCutchen/nOF-Cain/nOF-Pederson/nUtil-Granderson/nUtil-Tomas/nReserve-Upton Jr./nReserve-Grandall/nReserve-Ramirez/nReserve-Buxton/n/nSP-Harvey/nSP-Syndergaard/nSP-Matz/nSP-Martinez/nSP-Darvish/nSP-Berrios/nRP-Paplebon/nRP-Jeffress/nRP-Rondon/nRP-Osuna/nRP-Casilla/n/nThank you"	Fantasy Sports	1463487645000
YA:20160517052154AAVK2CV	Is it better to cox an 8 or a 4 in crew?	does coxswains put in a 4 boat tend to be better in the eyes of the coach than a coxswain put in an 8 boat?	Water Sports	1463487714000
YA:20160517052306AAOVbyP	Why was Twain such a racist?		Books & Authors	1463487786000
YA:20160517052552AAoIWhi	Why was Shakespeare so sexist?		Books & Authors	1463487952000
YA:20160517052640AAk0X1Q	Was Twain a gender queer?		Books & Authors	1463488000000
YA:20160517052727AA4A71M	"I am making a Pokemon live action series, but i don't know how to make the attacks using blender.?"	"Using blender, ive already learned how to animate the pokemon using tutorials on youtube, but i don't know where to start in making thier attacks, since there no tutorial specifically on that. does anyone know a series of tutorials or any advice themselves on how to make Pokemon attacks in blender?"	Drawing & Illustration	1463488047000
YA:20160517052919AAiZCXB	Tire pressure on a Dunlop 404f?		Maintenance & Repairs	1463488159000
YA:20160517053115AAbQuBX	"During which period, the past 800000 yrs or the period 800000 to 1.2 m yrs before present does glacial ice follow what we expect from the?"		Women's Health	1463488275000
YA:20160517053142AAkXTp3	Graduation Outfit?	"I'm a 11 years old girl and I'm graduating in a few weeks. I've always been the kind of person who doesn't really notice outfits and looks so I have absolutely no idea what I should wear to the graduation ceremony. I forbid dresses but otherwise, anything is fine as long as it's formal. Help?"	Fashion & Accessories	1463488302000
YA:20160517053241AAyieWY	"Hi I am 14/M and cannot ejaculate when masturbating. I reach climax, but I do not ejaculate. Please help, is it to do with my technique?"		Men's Health	1463488361000
YA:20160517053431AATh5RW	DOG LEAKING MILK?		Dogs	1463488471000
YA:20160517053508AAkJJ3p	"I really need a internet friendd.I'm 14year old guy I listen to Melanie MArtienz,PParamore,Arctic monkeys etc. please comment below,?"		Other - Pets	1463488508000
YA:20160517053609AAQsnnb	Could I have testicular cancer?	"I recently noticed a small lump on my lef ttesticle, and automatically freaked out. It seems to be on the top of the testicle, so theoretically it could be the epididymis, but here's the thing; it's not on my other testicle. Or at the very least, I cannot reliably locate it yet./nWhat are the possibilities?"	Cancer	1463488569000
YA:20160517053738AAq2BEA	"I'm 24 years old, I have a very late period, not sexually active, & I have hot flashes. Am I Perimenopausal? Or could I have Hematometra?"	"I have a doctor's appointment on Wednesday (Tried to wait it out in case if my period came, but it didn't). /n/nThis is my 1st time having an extremely late period. 1st time I ever got my period was at 13 years old, then it stopped & came back at 14 & flowed regularly until now./n/nLast period was March 31st - April 5th. Today is May 17th & I still haven't got it. /nMy usual cycle is 21 - 28 days, & lasts 5 - 6 days long./nMy vaginal discharge is odorless with a slight yellow tone. I have no vaginal irritations or dryness. I urine & poo normally. /nI had dull pelvic pain for about 2 days, then it stopped./nI get hot flashes randomly & had a fever twice. /nMy finger nails look pale-ish light white, pink, & purple-ish tones. I feel tired a lot & slightly dehydrated. /nI'm slightly anemic, is what a nurse told me. & I had recently got treated for Vitamin D deficiency months ago last year./nCould I be perimenopausal?/n/nI'm not sexually active, I've never had sex before, so I'm definitely NOT pregnant. Does masturbation count towards sexually active? /n/nThe last time I masturbated was April 25th from what I could recall. & I had a little blood on the end of my nail, but no pain. /n/nCould I have a cut/scab on my cervix not letting the blood flow out? But I don't have any ovary pain or cramps. Could it be Hematometra?"	Women's Health	1463488658000
YA:20160517053808AA66Eq5	I need help with jaylenes.com?	"I ordered some shoes for my kid @ jaylenes.com and I've been emailing them since May 12th. I went on my bf email and emailed them from there about a promo code and they emailed right back. I told them I ordered shoes and hope this isnt fraud! I emailed them on pintrest, facebook and personal email. What should I do know? Has anyone ever ordered from them and got their product?"	Fashion & Accessories	1463488688000
YA:20160517053941AAJCxvb	Why doesn't exhaling cause nasal irritation?	"When one drinks a carbonated beverage, residual carbon dioxide is excreted from the stomach by burping. If you release one of these burps through your nose, there is a distinct feeling of nasal irritation. The same irritation can be felt with Alka-Selzer and some antacids, due to carbon dioxide production. We exhale (a solution) of carbon dioxide during normal human respiration. Why does a normal exhale through the nose not produce this same irritating effect?"	Respiratory Diseases	1463488781000
YA:20160517054000AAqhtjR	For the next 5 years (not including 2016) who do you think the champions of the nba will be?		Basketball	1463488800000
YA:20160517054047AA3nIoX	"My 'area' been hurting, and itching, I'm not sure what it is, it's all red. (I haven't had sex in awhile if that matters)?"	It only has been a couple days since it started... any ideas?...	Skin Conditions	1463488847000
YA:20160517054344AAqVpcG	Semen allergy? Please help?	"Hey guys. I'm an 18 year old female and I'm trying to conceive. However every time me and my boyfriend have unprotected sex and he ejaculates inside of me I start to burn and sting pretty badly after that for about half an hour. But I've had the semen on other places of my body, even inside of my mouth and it didn't bother me. When we use condoms nothing bothers me, it just seems like whenever he ejaculates this happens. I heard it's very rare to have a semen allergy, what do you think of this?"	Men's Health	1463489024000
YA:20160517054444AAAThGA	Is fear the walking dead coping the walking dead show?		Dogs	1463489084000
YA:20160517054517AA8uCwl	"Family issues about dog, please help?"	"I am 23, I live in my own big flat, on the bottom floor, with a garden. I have just finished university (England) for photography. I was talking to my parents about what I would need for an adult dog I would be getting (I would be rescuing one) and they asked me what breed I would be getting. I said, maybe a Pomeranian, Chihuahua or a Papillon (Yes I am aware I would need to go to a breed specific rescue centre) and they yelled at me for wanting a small dog. They themselves have a Great Dane, lovely dog, but I prefer small dogs. They said I am stupid for wanting one, and that they won't speak to me again if I got one, and never visit me. They said I will regret for the rest of my life. What should I do? Should I go ahead with adopting a dog and ignore them, or do what they say?"	Dogs	1463489117000
YA:20160517054652AA8hATn	My hair is black and im scheduled for renewal on monday. now its blonde? Do i have to dye my hair back to black again for the renewal?		Hair	1463489212000
YA:20160517054731AAaHFwS	What is the best way to get rid of tree roots?	My tree is 16 years old. I see the roots starting to show from the ground and leaves or little trees are growing out of them. /nI am afraid it could advance towards the house and also cause sprinkler system damage.	Garden & Landscape	1463489251000
YA:20160517054947AAUs1Px	Tattoo ideas for brothers?	"I leave for deployment soon so answers would be appreciated sooner, but my older  brother(22) thought it'd be a cool if we got a matching tattoos, my oldest brother(24) said we should get tattoos that have meaning behind them. Such as ''my brothers keeper'' there's 3 of us and I'm the youngest (20) and think it'd be cool to get a tattoo that's the same, and yet symbolizes each of us differently. I've read ''my brothers keeper'' and ''my brothers protector'' and really like the idea of them, but there's 3 of us...any ideas would be greatly appreciated. I also have 3 younger sisters, but I'm not very close with them, so if there's a way to incorporate them in maybe another tattoo idea or maybe I'll just get the one."	Tattoos	1463489387000
YA:20160517055019AAy73Qi	My hair is a disaster..?	"I have wavy/curly hair.I've always brushed it but now I don't because I'm letting it go naturally because of frizz and dryness.It isn't bad but my hair is still so frizzy,the top layer is a disaster.Its dry and hard as steel .I've tried shampoos and oils but it seems I have been choosing wrong.Please help?"	Hair	1463489419000
YA:20160517055212AA1hmW0	Can someone edit a nude for me?	I uploaded a nude on imgur please search up my name on imgur  it is ''nowshowingclutchxgaming'' there a nude pick I got online if your good at editing please remove the hand from the pussy and hold up the peace sign then I want another edited photo of the same nude but nothing inside her pussy but she holding 1 hand up if your good at editing please send me the 2 edited Verizon I want of this nude thank u	Photography	1463489532000
YA:20160517055403AAOSZhT	Why does the air that we breathe in have to go through the lungs first before flowing into our blood vessels?		Respiratory Diseases	1463489643000
YA:20160517055511AAfDH2J	What triggered the fight between Odor & Batista?		Wrestling	1463489711000
YA:20160517055612AAoOp22	Does despression or anxiety make it hard for people to recognize subtext?	"Unlike most people, I can't recognize subtext.mpeople talk about the hidden meanings in songs, movies, and certain tv episodes. But I never catch onto these things. Why? I'm not stupid or anything. Can things like depression mess with being able to catch subtext and other subtle messages?"	Mental Health	1463489772000
YA:20160517055823AA6y6qC	I need alot of medical advice! Urgent?	Okay so let me start off by saying Im Male 17 and I hate pain i cry like a baby I can't do pain at all. /n/nI have a small hole on my backside that leaks blood and puss almost all the time/n/nI have 2 puffed up toes which are both the big toe with ingrown toe nails /n/nI have this stench this really awful stench! that comes out through my backside I don''t know why I wipe and wipe again and it's clean down there and It's not my clothes because I wear brand new ones to and it still stinks!/n/nI am currently sweating so so much I have no idea why./n/nMy memory is getting worse and worse I would walk into the bathroom 5 seconds later I would go to lock the door and forget that I already did and I cant remember/n/nCan someone please help me fix these issues there holding me back on life especially the stench one its been on me since 5 years.	Men's Health	1463489903000
YA:20160517060007AAUAvhl	I just lost my anti eyebrow piercing it started to reject. so I am thinking when it heals up just getting two beauty marks where it washelp?		Other - Skin & Body	1463490007000
YA:20160517060116AAsB7Zk	What does the note winston gets in 1984?		Football (American)	1463490076000
YA:20160517060213AA3dj8V	"Looking for turkish replica handbags and t-shirts website, is there any?"		Fashion & Accessories	1463490133000
YA:20160517060329AABxSb1	Any special ways to make pimples disappear? I only have some pimples on my forehead and they are so annoying.?		Skin Conditions	1463490209000
YA:20160517060449AAypb4s	Swimming in Atlantic City June 20th? Will the Atlantic Ocean be warm enough?		Swimming & Diving	1463490289000
YA:20160517060527AAofJ0g	When does cleveland and toronto play?		Baseball	1463490327000
YA:20160517060649AA6sPGp	Name some of Koreans fruit...?		Korea	1463490409000
YA:20160517060747AApnnp0	When does cleveland and toronto play their first eastern conference championship game?		Basketball	1463490467000
YA:20160517060853AAkrYqZ	What is the authentic grunge look from the 90s?		Fashion & Accessories	1463490533000
YA:20160517060924AATVH8X	Bleeding through a super tampon every 2 hours??	"im only 13 and i got my first period in september. now its may and my periods are irregular, but theyve never been like this! usually it lasts 7 days and for the first 2 days its pretty heavy so i use a super tampon and change it every 6 hours (u by kotex sleek). im on my third day now and ive been bleeding so much!!! yesterday i bled through in 3 hours and then again in 3 hours. i was okay when i was laying down at home, but when i got up it would get worse. i used a maxi pad to sleep and i didnt leak through it, but it was almost full. this morning at 5am i put a tampon in and 2 hours later i bled straight through! i came home from school because of this and i put a new one in at 8 with a pantyliner and the string is completely red and the pantyliner was full, too! this has never happened before, ive always used super tampons and never bled through like this. is there something wrong? please help me!"	Women's Health	1463490564000
YA:20160517061052AAy24Gx	Cute Korean names for my friend?	My friend is moving to South Korea soon and her name is Jessica. She's funny but also shy. I want to call her by a Korean nickname...but not her name. What do you call a shy person in Korea?	Korea	1463490652000
YA:20160517061208AAF4RXA	"Hi, do girls in Germany like arab guys from Egypt?"	"hi everybody, i moved to Germany 2 years ago from Egypt and what i noticed in Germany that it is really difficult to make frienda in Germany as it was in my country they are so cold people. i heard before i came to germany that girls in Germany like boys with dark skin and afro hair but i noticed is completely the opposite. everybody is calling me here N word and you stupid foreigner and things like that? is there a problem with me?, because i am trying to get a German girlfriend but it is complicated. can you please explain to me what should i do?. Thanks waitinf for you answers. :)"	Other - Germany	1463490728000
YA:20160517061310AAnMaF6	Where are you TRENDING(in what arena)?		Wrestling	1463490790000
YA:20160517061406AARVbBN	Sprained my lower back?	"So just yesterday I was helping my parents move our washing machine, and I decided to pull it side to side from the front of it and I guess I accidently sprained my back because after sitting down on my computer later that day for an hour and getting up I noticed a pain in my lower back left side. But today morning it seems like its not as bad as it was yesterday. Should I just wait for it to heal?"	Injuries	1463490846000
YA:20160517061433AASrn4T	"My cat's ears are either really hot or really cold, and don't have much hair on them. Will she be ok?"	I want PROFESSIONAL answers please	Cats	1463490873000
YA:20160517061531AAtZAY2	"Ive been growing my dreads for 7 months now but some of them are still fat and fuzzy, why?"	also will working out slow down or speed up my process	Hair	1463490931000
YA:20160517061710AAYii6K	Does this match? Navy Blue sweat outfit with black sneakers..?	I ask because I have this new sweat outfit I want to wear and I have some black Nikes sneakers.. Plus the sweatpants are not the super baggy ones.. So could I wear this?	Fashion & Accessories	1463491030000
YA:20160517061826AAufS3N	"I don't look like my dad. I look like Eminem. Nose, chin, chin dimple, eye shape, eye color, jawline, hair color.?"		Other - Beauty & Style	1463491106000
YA:20160517061850AA7RFo9	"Can washer full of clothes and water on spin cycle, make motors wear out?"	"when washer starts spin cycle without draining water after washing, the spin starts slow. it takes awhile longer for it to reach top speed. the water does drain without drain pump on, the spin cycle actually drains water by centrifugal gravity."	Maintenance & Repairs	1463491130000
YA:20160517061959AAbf7FB	"If the Warriors fall short of the goal of winning the Western Conference or NBA Finals, should there be coaching and personnel changes?"		Basketball	1463491199000
YA:20160517062120AADVa2B	Source Control with Clickteam Fusion 2.5?	"Is it possible, and if so how do you do it?"	Hair	1463491280000
YA:20160517062203AA60pU8	Are there any teenage nightclubs in the UK?	"For example, under 18s nightclubs./nPreferably in the south of UK or Oxfordshire"	Other - United Kingdom	1463491323000
YA:20160517062333AADNGkJ	Nobody thinks I can be a teacher but that's the only thing I want to be ! its making me sad and I'm trying so hard not to give up !?	"I have a short attitude problem that's fixable, but everybody try to use it against me ! I love kids and the only thing I want is to be a teacher ! I'm only 19 and I'm only a freshman in college but it hurts my feelings because I don't want a different career ! I believe in myself so why don't other people ? I work at a daycare for almost four months I only quit because I started to have anxiety attacks dealing with two years old all day was really hard for me I never in my life had to change a diaper until then, I never heard 23 babies crying until then, it was just a lot I wasn't used to and I didn't feel like I was ready but I loved my job because even if I went to work and I was upset about something the kids always brought the happy side out of me ! I was alwAys happy to watch them sleep, watch them learn they ABC's and play outside ! It was great. I just want people to see the way I see things that's it ?? I'm stressing but don't want to !"	Mental Health	1463491413000
YA:20160517062412AA9o0PT	My chiauaua got into a fight last night with another dog Now she is limping around and not eating or drinking and her eye is blood shot?		Dogs	1463491452000
YA:20160517062524AAKQsmX	"I need this for work, please someone help me!?"	"What length is the Carp Kinetics Synapse XD Fishing Rod, 3.5 lbs?"	Fishing	1463491524000
YA:20160517062740AAzJ7Uk	How close are my kitties to labor?	"I have 2 kitties who are heavily pregnant. They were taken to the vet a couple of weeks ago and the vet said the mothers and the babies were doing well. Now they are looking closer and closer to birth everyday. Since we don't know the time of the conception, we don't know their exact due date and the vet couldn't give us a day either, just a time frame window. Misty, our gray cat had yellowish discharge yesterday at 8:00 p.m. Evie, also had discharge that was more opaque. Both kitties have whitish milk. Does anyone one know what time I should expect the kittens to arrive? I would like to be there when they have their kittens."	Cats	1463491660000
YA:20160517062925AAso2CR	Why did South Africa turn into such a 3rd world dump when blacks took over in spite of all the well-wishings and aid from white liberals?		Rodents	1463491765000
YA:20160517063001AAChkoW	What has this world come to when a leftoid like this guy has enjoyed a life of power and privilege?	"The guy asking this question, who of course asked ANON, ADMITS to having pushed communism on his students when he was a professor! He even came from a privileged background, went to the same bording school as Bush, Ivy League, and now says is retired ''comfortably''. /n/nI just... don't know where to begin,. That's what being a liberal crok gets you!/n/nhttps://answers.yahoo.com/question/index?qid=20160517015605AAKkpO9"	Rodents	1463491801000
YA:20160517063154AA6OlbL	Anxiety/depression/panic disorder?	"I went to see my doctor yesterday to be put on anxiety medication after being referred by my therapist. He asked me questions about my experiences with anxiety and having panic attacks. He also asked if some depression comes along with it and I told him yes. After some further questions, he gave me a diagnosis and for some reason j cannot remember the name of it for the life of me. He said basically what it is is severe anxiety and panic disorder with a touch of depression. All I can remember is the word starts with a D. I just want to know so I can read about it to be a little more educated. Does anyone know what he is talking about?"	Mental Health	1463491914000
YA:20160517063300AApRld0	Back littered with red dots?	So I got up from my seat at school and my I felt like little bugs were biting all over my skin I went to the bathroom and there were lots of red dots where I could see which were going up in a line I don't know if it's nothing or something serious	Skin Conditions	1463491980000
YA:20160517063322AAA9LL0	Question about Adolf Hitler?	"What do you think of this introduction of Hitler? How much of it is correct?/n/nAdolf Hitler born in 1889 in Austria-Hungary would grow to become one of the most recognised figures in history. From a homeless boy in Vienna he would become leader of the Nazi Party turning an economically depressed Germany into one of the richest and most evil empires to spread across Europe in just six years. Invading and conquering multiple European countries in a few days, he would become a man so powerful and brutal, it would take three of histories most powerful superpowers to bring him down, The United States, the Soviet Union and the British Empire all teaming up to destroy what history calls - The Third Reich. /n/nCan you please tell me what you think of this introduction and how historically accurate it is?/n/nThank You :)"	History	1463492002000
YA:20160517063435AAD50Kc	What can i give my puppie myself for worms?		Dogs	1463492075000
YA:20160517063542AAT1eF9	I have a 05 dodge neon with a transmission problem.?	I put the car in neutral not running and it moves freely.i start the car while still in neutral and something stops it.I start it in park and put it in reverse it rolls about a foot then stops. I give it quite a bit of gas and it backs up but still being held back. It does the same thing in in drive but not as bad. When I reach about 20 mph something releases and as long as I stay above 20 it doesn t do it. When I stop the problem shows itself again. The car has 94k miles. It did start acting normal a few weeks ago but started again. Mechanic said it needs another tranny. He said parts are welded together inside tranny but why would it not do it for two weeks of that was the case Does anyone have any ideas. Thanks for any help you can offer	Maintenance & Repairs	1463492142000
YA:20160517063716AAJvlcx	Should you use your distance glasses for computer?	"I cant see clearly text on the computer screen, but shouldnt prescription for computer use be lower then distance ?/nThe doctor told me its ok to use distance glasses for computer, but I am not sure"	Optical	1463492236000
YA:20160517063812AAM7iho	My 3 month old baby parrots losing their feather to much.what can I do?		Birds	1463492292000
